educ,delta,p,transition,age,effect,cc,rate_effect,cc_total
basic,0.0030000000000000027,0.9804999999999999,init,40,31.448915087087883,0.09434674526126373,0.6924266070508835,0.011158639591565902
basic,-1.7089999999999998e-4,5.161499999999999e-4,HD,40,-30.637589452771238,0.005235964037478604,0.6924266070508835,6.192713426078542e-4
basic,-1.758e-4,5.193e-4,HD,40.25,-30.3932528488387,0.005343133850825843,0.6924266070508835,6.319466004445252e-4
basic,-1.806e-4,5.226e-4,HD,40.5,-30.149301498339454,0.005444963850600106,0.6924266070508835,6.43990304378812e-4
basic,-1.8559999999999996e-4,5.26e-4,HD,40.75,-29.905742426843737,0.005550505794422196,0.6924266070508835,6.564730297727058e-4
basic,-1.9060000000000003e-4,5.295e-4,HD,41,-29.662581232296272,0.00565368798287567,0.6924266070508835,6.686766606455353e-4
basic,-1.9559999999999998e-4,5.331e-4,HD,41.25,-29.41982361800982,0.00575451749968272,0.6924266070508835,6.806020348078972e-4
basic,-2.0060000000000005e-4,5.368e-4,HD,41.5,-29.177473930037685,0.005853001270365561,0.6924266070508835,6.92249971359657e-4
basic,-2.0569999999999996e-4,5.406499999999999e-4,HD,41.75,-28.935542450498804,0.005952041082067603,0.6924266070508835,7.039636723563291e-4
basic,-2.1090000000000003e-4,5.4465e-4,HD,42,-28.69403225640946,0.006051571402876756,0.6924266070508835,7.157353871650037e-4
basic,-2.161e-4,5.486499999999999e-4,HD,42.25,-28.452946621351444,0.0061486817648740465,0.6924266070508835,7.272208870318356e-4
basic,-2.2140000000000001e-4,5.528e-4,HD,42.5,-28.212297468571524,0.006246202659541736,0.6924266070508835,7.387549416855534e-4
basic,-2.2669999999999998e-4,5.5715e-4,HD,42.75,-27.9720896447772,0.00634127272247099,0.6924266070508835,7.49999129974586e-4
basic,-2.321e-4,5.6155e-4,HD,43,-27.732329541890067,0.006436673686672684,0.6924266070508835,7.612824548340356e-4
basic,-2.3760000000000003e-4,5.660999999999999e-4,HD,43.25,-27.493022280964066,0.006532342093957063,0.6924266070508835,7.725974108956288e-4
basic,-2.4309999999999995e-4,5.7075e-4,HD,43.5,-27.254175854282533,0.006625490150176082,0.6924266070508835,7.836142783575074e-4
basic,-2.4859999999999997e-4,5.755000000000001e-4,HD,43.75,-27.01579695618772,0.006716127123308267,0.6924266070508835,7.943341533680525e-4
basic,-2.5429999999999995e-4,5.804499999999999e-4,HD,44,-26.777893724213097,0.006809618374067389,0.6924266070508835,8.053916113576932e-4
basic,-2.601e-4,5.8545e-4,HD,44.25,-26.540471700827528,0.0069031766893852394,0.6924266070508835,8.164570012504233e-4
basic,-2.659e-4,5.906500000000001e-4,HD,44.5,-26.303540527810327,0.006994111426344766,0.6924266070508835,8.27212093577936e-4
basic,-2.717e-4,5.9595e-4,HD,44.75,-26.06710334200415,0.007082431978022527,0.6924266070508835,8.376579992842881e-4
basic,-2.7780000000000003e-4,6.014e-4,HD,45,-25.831171270458096,0.00717589937893326,0.6924266070508835,8.487126364891552e-4
basic,-2.8380000000000007e-4,6.07e-4,HD,45.25,-25.5957515675431,0.007264074294868733,0.6924266070508835,8.59141317470316e-4
basic,-2.8990000000000005e-4,6.1275e-4,HD,45.5,-25.3608503312456,0.007352110511028101,0.6924266070508835,8.695535940613868e-4
basic,-2.9610000000000004e-4,6.1865e-4,HD,45.75,-25.126475066109634,0.007439949267075064,0.6924266070508835,8.799425165216719e-4
basic,-3.0250000000000003e-4,6.2465e-4,HD,46,-24.89263212752259,0.007530021218575584,0.6924266070508835,8.90595564926469e-4
basic,-3.088e-4,6.307999999999999e-4,HD,46.25,-24.659334181346736,0.007614802395199872,0.6924266070508835,9.006228593655041e-4
basic,-3.153e-4,6.3715e-4,HD,46.5,-24.426585266940325,0.007701702334666285,0.6924266070508835,9.109007455008376e-4
basic,-3.219e-4,6.436500000000001e-4,HD,46.75,-24.19439450567349,0.0077881755913762965,0.6924266070508835,9.211281667358143e-4
basic,-3.2859999999999996e-4,6.502999999999999e-4,HD,47,-23.96276987275956,0.00787416618018879,0.6924266070508835,9.312985015594269e-4
basic,-3.354e-4,6.572e-4,HD,47.25,-23.73172301116104,0.007959619897943413,0.6924266070508835,9.414053392202567e-4
basic,-3.423e-4,6.6415e-4,HD,47.5,-23.501256132496415,0.008044479974153524,0.6924266070508835,9.514419653223996e-4
basic,-3.493e-4,6.7135e-4,HD,47.75,-23.271382248566518,0.008128693819424285,0.6924266070508835,9.614021599787609e-4
basic,-3.564e-4,6.787e-4,HD,48,-23.042108526448335,0.008212207478826186,0.6924266070508835,9.712795417968407e-4
basic,-3.637e-4,6.8625e-4,HD,48.25,-22.813442279478807,0.008297248957046442,0.6924266070508835,9.813376227954594e-4
basic,-3.7109999999999997e-4,6.9395e-4,HD,48.5,-22.58539434988995,0.00838143984324416,0.6924266070508835,9.912951020214077e-4
basic,-3.7850000000000004e-4,7.0185e-4,HD,48.75,-22.35797335333557,0.008462492914237514,0.6924266070508835,0.0010008814635275717
basic,-3.8619999999999995e-4,7.1e-4,HD,49,-22.13118800917932,0.008547064809145051,0.6924266070508835,0.0010108840056633466
basic,-3.939e-4,7.1825e-4,HD,49.25,-21.90504494062436,0.008628397202111936,0.6924266070508835,0.0010205034033195547
basic,-4.018e-4,7.268000000000001e-4,HD,49.5,-21.67955745891574,0.008710846186992343,0.6924266070508835,0.0010302548632604698
basic,-4.098e-4,7.355e-4,HD,49.75,-21.454731281051924,0.008792148878975078,0.6924266070508835,0.0010398707481025717
basic,-4.179e-4,7.4445e-4,HD,50,-21.230578727409316,0.008872258850184354,0.6924266070508835,0.0010493455666979522
basic,-4.2620000000000006e-4,7.536e-4,HD,50.25,-21.007105773387252,0.008953228480617649,0.6924266070508835,0.0010589220594679509
basic,-4.346999999999999e-4,7.6295e-4,HD,50.5,-20.784323814312703,0.00903494556208173,0.6924266070508835,0.0010685869552521903
basic,-4.433e-4,7.7255e-4,HD,50.75,-20.562242186569982,0.009115241961306473,0.6924266070508835,0.0010780838231830153
basic,-4.5200000000000004e-4,7.823999999999999e-4,HD,51,-20.34087031601716,0.009194073382839757,0.6924266070508835,0.0010874074243199152
basic,-4.609e-4,7.9245e-4,HD,51.25,-20.1202187237836,0.009273408809791862,0.6924266070508835,0.0010967906355133703
basic,-4.6999999999999993e-4,8.028e-4,HD,51.5,-19.90029598369652,0.009353139112337363,0.6924266070508835,0.0011062205496897212
basic,-4.792999999999999e-4,8.1335e-4,HD,51.75,-19.681112766955035,0.009433157349201545,0.6924266070508835,0.001115684518621001
basic,-4.887e-4,8.241500000000001e-4,HD,52,-19.46267783383836,0.009511410657396807,0.6924266070508835,0.0011249397447613474
basic,-4.982999999999999e-4,8.3525e-4,HD,52.25,-19.245002956214407,0.009589784973081637,0.6924266070508835,0.0011342092827781685
basic,-5.08e-4,8.466e-4,HD,52.5,-19.028096088814294,0.009666272813117662,0.6924266070508835,0.0011432557023206323
basic,-5.18e-4,8.582e-4,HD,52.75,-18.811970056353516,0.009744600489191122,0.6924266070508835,0.0011525197241470167
basic,-5.280999999999999e-4,8.7015e-4,HD,53,-18.596633912802414,0.009820882369350952,0.6924266070508835,0.001161541784269106
basic,-5.385e-4,8.823500000000001e-4,HD,53.25,-18.38209683188172,0.009898759143968308,0.6924266070508835,0.001170752476785337
basic,-5.491e-4,8.9485e-4,HD,53.5,-18.168369915382197,0.009976251920536364,0.6924266070508835,0.0011799177528346392
basic,-5.598000000000001e-4,9.077e-4,HD,53.75,-17.955464290311166,0.010051468909716192,0.6924266070508835,0.0011888138654784425
basic,-5.707999999999999e-4,9.208e-4,HD,54,-17.743389334043183,0.010127926631871847,0.6924266070508835,0.0011978567228993792
basic,-5.819999999999999e-4,9.342999999999999e-4,HD,54.25,-17.53215628553319,0.010203714958180315,0.6924266070508835,0.0012068204090994945
