educ,period,delta,p,transition,age,time_mid,effect,cc,rate_effect,cc_total
basic,2000-2004,0.011275985746691197,0.9793359895915483,init,40,NA,29.368528801787278,0.33115911217024324,1.0811232705087916,0.05324010994643873
basic,2000-2004,-1.74512029367662e-4,7.722120018372163e-4,HD,40,2002,-28.566864632154648,0.004985261519628597,1.0811232705087916,8.014753683731671e-4
basic,2000-2004,-1.9116335794628757e-4,7.852656842046791e-4,HD,40.25,2002,-28.323039895347744,0.005414327413641344,1.0811232705087916,8.704558509629449e-4
basic,2000-2004,-2.083138638569092e-4,7.986015911379163e-4,HD,40.5,2002,-28.07965560812114,0.005849381555499044,1.0811232705087916,9.403990580012887e-4
basic,2000-2004,-2.259671051666666e-4,8.122187069692266e-4,HD,40.75,2002,-27.836719517893492,0.00629018292679484,1.0811232705087916,0.001011266241206758
basic,2000-2004,-2.4389697587640698e-4,8.259303815418098e-4,HD,41,2002,-27.594234369077906,0.0067301503142429145,1.0811232705087916,0.0010819993456865798
basic,2000-2004,-2.6199242010375686e-4,8.396512251546218e-4,HD,41.25,2002,-27.352205943570958,0.007166070630332518,1.0811232705087916,0.001152081806665536
basic,2000-2004,-2.8023990904323267e-4,8.533769440121041e-4,HD,41.5,2002,-27.110642369074505,0.007597483951613049,1.0811232705087916,0.0012214396827233932
basic,2000-2004,-2.9862601276174215e-4,8.671034259723388e-4,HD,41.75,2002,-26.869551841427256,0.008023947131100348,1.0811232705087916,0.0012900017295751779
basic,2000-2004,-3.171374331968873e-4,8.808267538726464e-4,HD,42,2002,-26.628942623510582,0.008445034512367333,1.0811232705087916,0.0013576995148747927
basic,2000-2004,-3.357610362373114e-4,8.945432184505244e-4,HD,42.25,2002,-26.388823044150723,0.008860338570387089,1.0811232705087916,0.001424467521242702
basic,2000-2004,-3.544838828074072e-4,9.082493308357365e-4,HD,42.5,2002,-26.149201497020268,0.00926947047897701,1.0811232705087916,0.0014902432374933417
basic,2000-2004,-3.7329325888562e-4,9.219418345923299e-4,HD,42.75,2002,-25.91008643954136,0.009672060605024504,1.0811232705087916,0.001554967238091279
basic,2000-2004,-3.9217670439306747e-4,9.356177172928262e-4,HD,43,2002,-25.6714863917934,0.010067758930005015,1.0811232705087916,0.0016185832509182307
basic,2000-2004,-4.111220408966129e-4,9.492742216101137e-4,HD,43.25,2002,-25.433409935427758,0.010456235399613252,1.0811232705087916,0.0016810382134829155
basic,2000-2004,-4.301173980778767e-4,9.629088559158816e-4,HD,43.5,2002,-25.195865712591882,0.010837180202619607,1.0811232705087916,0.0017422823177525163
basic,2000-2004,-4.4915123892718333e-4,9.765194043778584e-4,HD,43.75,2002,-24.9588624248653,0.011210303980341372,1.0811232705087916,0.0018022690438291493
basic,2000-2004,-4.682123836288303e-4,9.90103936551405e-4,HD,44,2002,-24.722408832209734,0.011575337968375366,1.0811232705087916,0.0018609551827360742
basic,2000-2004,-4.8729003211139224e-4,0.0010036608164644039,HD,44.25,2002,-24.486513751935536,0.011932034072476715,1.0811232705087916,0.001918300848616648
basic,2000-2004,-5.063737852437934e-4,0.0010171887111974933,HD,44.5,2002,-24.251186057686457,0.0122801648806822,1.0811232705087916,0.001974269480683382
basic,2000-2004,-5.25453664665185e-4,0.0010306865989651074,HD,44.75,2002,-24.016434678444732,0.012619523613980818,1.0811232705087916,0.002028827835287299
basic,2000-2004,-5.4452013124325e-4,0.001044153776705765,HD,45,2002,-23.78226859755826,0.012949924018004648,1.0811232705087916,0.002081945968505187
basic,2000-2004,-5.635641021623913e-4,0.0010575898671931843,HD,45.25,2002,-23.548696851791487,0.0132712001983742,1.0811232705087916,0.0021335972096682373
basic,2000-2004,-5.825769666494946e-4,0.0010709948256827427,HD,45.5,2002,-23.31572853040154,0.013583206402464408,1.0811232705087916,0.002183758126276789
basic,2000-2004,-6.015506003512793e-4,0.0010843689461106803,HD,45.75,2002,-23.08337277424095,0.013885816750477018,1.0811232705087916,0.0022324084807651147
