period,gender,educ,init
2000-2004,men,basic,0.19538974574149146
2000-2004,men,secondary,0.4894890804869961
2000-2004,men,tertiary,0.3151211737715125
2000-2004,women,basic,0.12169500346981263
2000-2004,women,secondary,0.4375693962526024
2000-2004,women,tertiary,0.440735600277585
2016-2020,men,basic,0.15097646729379063
2016-2020,men,secondary,0.46809144557513654
2016-2020,men,tertiary,0.3809320871310728
2016-2020,women,basic,0.07666212375521925
2016-2020,women,secondary,0.34865596222611867
2016-2020,women,tertiary,0.5746819140186621
